Players,assists,goals_scored
Aaron Connolly,2,2
Aaron Cresswell,0,3
Aaron Lennon,0,0
Aaron Mooy,1,2
Aaron Ramsdale,1,0
Aaron Wan-Bissaka,2,0
Abd-Al-Ali Morakinyo Olaposi Koiki,0,0
Abdoulaye Doucour?,3,4
Adam Idah,0,0
Adam Lallana,1,1
Adam Masina,0,1
Adam Smith,1,0
Adam Webster,1,3
Adama Traor?,7,4
Addji Keaninkin Marc-Israel Guehi,0,0
Ademola Lookman,0,0
Adrian Mariappa,0,0
Adri?n San Miguel del Castillo,0,0
Ahmed El Mohamady,1,0
Ainsley Maitland-Niles,2,0
Akin Famewo,0,0
Albian Ajeti,0,0
Alex Iwobi,0,1
Alex McCarthy,0,0
Alex Oxlade-Chamberlain,0,3
Alexander Tettey,1,1
Alexandre Nascimento Costa Silva,0,0
Alexandre Lacazette,4,7
Alexis Mac Allister,0,0
Alexis S?nchez,0,0
Alfie Whiteman,0,0
Alireza Jahanbakhsh,1,2
Alisson Ramses Becker,1,0
Allan Saint-Maximin,2,2
Andre Gray,1,2
Andre Green,0,0
Andreas Christensen,0,0
Andreas Pereira,3,1
Andrew Robertson,7,1
Andrew Surman,0,0
Andriy Yarmolenko,1,3
Andros Townsend,1,1
Andr? Filipe Tavares Gomes,0,0
Andy Carroll,3,0
Andy King,0,0
Andy Lonergan,0,0
Angel Gomes,0,0
Angelo Ogbonna,0,2
Angus Gunn,0,0
Anthony Driscoll-Glennon,0,0
Anthony Gordon,0,0
Anthony Knockaert,0,0
Anthony Martial,3,11
Antonio R?diger,0,2
Anwar El Ghazi,5,4
Archie Mair,0,0
Armando Broja,0,0
Arnaut Danjuma Groeneveld,1,0
Arthur Masuaku,1,0
Artur Boruc,0,0
Ashley Barnes,0,6
Ashley Westwood,6,2
Ashley Young,0,0
Asmir Begovic,0,0
Axel Tuanzebe,0,0
Aymeric Laporte,0,0
Ayotomiwa Dele-Bashiru,0,0
Ayoze P?rez,5,7
Bailey Peacock-Farrell,0,0
Bamidele Alli,6,8
Ben Davies,0,0
Ben Foster,0,0
Ben Gibson,0,0
